model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,feature_set,algorithm
Linear Regression (Clinical Only),-0.9705009816509305,1.2808801479467293,61763.79607576171,11382.464723625533,82388.78348050528,18281.89871587453,Clinical Only,Linear Regression
Ridge (Clinical Only),-0.2934748266837108,0.2984857301243,54619.93903246558,6914.194816239408,70173.11910572967,8531.457078664169,Clinical Only,Ridge
XGBRegressor (Clinical Only),-0.6082456276282797,0.7521745068787814,59634.15930614653,7548.502132856299,76567.24859883692,8872.195305933968,Clinical Only,XGBRegressor
Linear Regression (Imaging Only),-0.09296122946654234,0.2495560370504921,50033.655706380734,7630.109898378475,64891.64444227979,10400.577872210502,Imaging Only,Linear Regression
Ridge (Imaging Only),-0.09293120414040901,0.2495500152552154,50033.06487455572,7629.485357485635,64890.704532421485,10400.076803423068,Imaging Only,Ridge
XGBRegressor (Imaging Only),-0.24716079332159183,0.306944128818812,51166.674021344865,7419.266861972441,68901.55030143824,8918.503382368464,Imaging Only,XGBRegressor
Linear Regression (Combined),-1.0665092683227155,1.3065537825263926,61861.07271708491,11210.753255398575,84074.4296771311,20365.157192731414,Combined,Linear Regression
Ridge (Combined),-0.3693228654519609,0.4469307192264257,54288.68410703836,6551.826556328173,71465.08652133628,9035.344785527146,Combined,Ridge
XGBRegressor (Combined),-0.131631320323896,0.2891034479101078,49445.452946312325,6813.9394978877135,65524.7893700308,8329.880311241333,Combined,XGBRegressor
